screen_name,description,url,followers_count,friends_count,listedcount,favourites_count,verified,statuses_count,default_profile,default_profile_image,has_extended_profile,name,bot,ff_ratio,modified_date,last_numeric,sn_length,sn_digitcount,sn_lastone,desc_length,diversity,null_url
Sanchita_Gulati,"Creative Thinker, Healthcare Strategist, Hungry for Knowledge, Traveller",http://t.co/n4JDHGXkxM,1,2,0,1,0,0,0,0,1,Sanchita Gulati,0,515,2012-07-29,False,13,0,44,70,28,1
xhckr,Co-Founder @yellowmssngr & Botplatform.io. Entrepreneur in making. https://t.co/XPbVSKJAQ3 || https://t.co/g81AEpYMcX. Young Padawan.,https://t.co/Sh4GZRILG0,2,2,2,3,0,1,0,0,1,Rashid Khan,0,647,2009-04-22,False,3,0,53,131,51,1
businessman_exe,"Finally, more businessmen. // bot by @ckolderup #botALLY",,1,0,2,1,0,3,0,0,0,Businessman.exe,1,1490,2014-06-16,False,13,0,40,54,21,0
wayback_exe,"I generate screenshots of old websites in old browsers. Tweets every 2 hours. Data from the Wayback Machine, bot from @muffinista #botALLY",https://t.co/mGcnQ96Y14,2,0,2,0,0,2,1,0,0,wayback_exe,1,1802,2015-09-25,False,9,0,40,136,36,1
AmIRiteBot,This is a bot that makes bad jokes based on Twitter trending topics. Twitter comedians: consider yourselves on notice. Written by @tinysubversions.,http://t.co/T4MMA1dwmr,2,0,2,1,0,3,1,0,0,AmIRite Bot,0,1584,2013-06-11,False,8,0,55,145,45,1
CantorLogical,"German words only look uncountably long. Defining German words by parts, automatically. Data from http://t.co/dq9aw8fdCR | Created by @hazzen",,0,0,0,0,0,1,1,0,0,Cantor Logical,1,842,2014-03-01,False,11,0,47,139,39,0
safiyyahn,a ghost of Internet virility #BlackLivesMatter #NoDAPL #NoBanNoWall,,2,2,2,3,0,3,0,0,0,$af,0,1129,2010-09-01,False,7,0,49,65,32,0
fishtale13,"NJEMT & #NREMT Former Bond Trader/NYC Sales Manager/Fixed Income Specialist, For PWJC & UBS. Husband, Dad, Grand-Pa, Outdoorsman and of course a fisherman.",https://t.co/cNCLvuwsxB,2,3,2,3,0,3,0,0,1,Marty,0,420,2009-04-10,True,8,2,3,153,51,1
Maisie_Williams,https://t.co/vHxZ3fFu6S,,3,3,3,3,1,2,0,0,0,Maisie Williams,0,1746,2010-10-04,False,13,0,54,21,16,0
softlandscapes,every 6 hours - by @v21,https://t.co/uQeCVnQrg9,2,0,2,0,0,1,0,0,0,soft landscapes,1,1841,2016-02-25,False,12,0,54,21,33,1
qaefr83,I will not eat oysters. I want my food dead. Not sick. Not wounded. Dead.,,0,3,1,2,0,1,0,0,0,Jacalyn Brooks,1,122,2015-01-01,True,5,2,3,71,51,0
xiehl16,"Pilot, business owner, husband, and father in Idaho.",,0,3,1,2,0,1,1,0,0,xiehl16,1,26,2016-09-27,True,5,2,6,50,51,0
YouLookNiceBot,A quite abstract complimentary bot made by @TRASEVOL_DOG with @v21's http://t.co/XpDujaprri.,https://t.co/bq005Hz0eF,2,3,1,1,0,2,0,0,0,You Look Nice,1,689,2015-06-20,False,12,0,55,90,33,1
RodriguezJack,Don't Panic!,https://t.co/r0mTCtcdKC,1,2,0,2,0,2,0,0,0,Ricardo Estevez,0,569,2009-06-28,False,11,0,46,10,51,1
alyankovic,You know... the Eat It guy.,http://t.co/rwtnBFlCio,3,2,3,3,1,2,0,0,0,Al Yankovic,0,1878,2009-03-02,False,8,0,38,25,45,1
KevinHart4real,My name is Kevin Hart and I WORK HARD!!! That pretty much sums me up!!! Everybody Wants To Be Famous But Nobody Wants To Do The Work,https://t.co/mZwaXJBXuw,3,2,3,2,1,3,0,0,1,Kevin Hart,0,1963,2009-03-07,False,12,1,47,130,33,1
nytimes,"Where the conversation begins. Follow for breaking news, special reports, RTs of our journalists and more from https://t.co/YapuoqX0HS.",http://t.co/ahvuWqicF9,3,3,3,3,1,3,0,0,0,The New York Times,0,1956,2007-03-02,False,5,0,54,133,51,1
RestroomGender,random restroom gender sign generator. extant (and not so extant) genders with random symbols. bot by @lichlike / @tylercallich,,2,0,2,2,0,2,0,0,1,Restroom Genderator,1,1600,2015-06-27,False,12,0,53,125,26,0
WendiannaJonez,"Mom, Mimi, Navair BFM, tree hugger.",,0,1,0,0,0,0,1,0,0,Wendy Jones,0,291,2014-01-03,False,12,0,61,33,20,0
DjokerNole,"Laugh as long as you breathe, love as long as you live!",http://t.co/FoajF3Yyn1,3,3,3,3,1,2,0,0,0,Novak Djokovic,0,1882,2011-03-02,False,8,0,40,53,34,1
brianstelter,"CNN's host of @ReliableSources and senior media correspondent. Formerly @nytimes, @tvnewser and Top of the Morning. Email: bstelter@gmail.com",https://t.co/oAdPr7RfVz,3,3,3,3,1,3,0,0,0,Brian Stelter,0,1353,2008-04-24,False,10,0,53,139,29,1
"""1lovetakes2""","""""",null,0,0,0,0,0,0,1,1,0,"""Camisha""",1,247,2010-07-07,False,11,2,26,0,39,0
Pink,it's all happening,https://t.co/7OR98zuOdy,3,2,3,2,1,2,0,0,0,P!nk,0,1968,2009-04-04,False,2,0,46,16,51,1
fantasy_florist,all about fantastic flowers! by @spinnylights and @katierosepipkin.,https://t.co/ex1de7WPwA,2,1,2,0,0,3,0,0,0,Fantasy Florist,1,1189,2014-09-06,False,13,0,55,65,28,1
received_wisdom,"Wise sayings, four times daily. by @tinysubversions",,1,0,2,0,0,2,0,0,0,Received Wisdom,1,1325,2014-09-18,False,13,0,48,49,28,0
worstvsworst,"Comparing things people on Twitter think are the worst. RT to vote former, fav to vote latter. Bot by @robdubbin and @biocuriosity",,1,0,2,0,0,2,1,0,0,worst vs worst,1,1510,2014-11-05,False,10,0,55,128,7,0
anthonyedwards,Official Anthony Edwards Twitter Page,,3,1,3,1,1,1,0,0,0,Anthony Edwards,0,1861,2009-10-17,False,12,0,54,35,33,0
LandsatBot,I'm a bot that tweets images from the NASA/USGS Landsat program. Managed by @mewo2.,https://t.co/HSFJaSfDmL,2,0,2,0,0,3,0,0,0,Landsat Bot,1,1618,2015-05-09,False,8,0,55,81,34,1
WrongRobot,I am a robot who trys to correct your mistakes. Currently educating people on how to spell the word definitely. (Created by: @LukeBro),,0,0,1,3,0,1,0,0,0,Definitely A Robot,1,959,2014-08-25,False,8,0,55,132,34,0
atzblogs,,http://t.co/IT2OkBbs,1,2,0,0,0,1,0,0,0,atz blogs,0,339,2011-05-07,False,6,0,54,1,51,1
ShreyaBallal,Software engineer @Microsoft,,0,1,0,1,0,0,0,0,0,Shreya Ballal,0,681,2014-07-04,False,10,0,47,26,21,0
jerffersongat,,,0,1,0,0,0,0,1,1,0,jerfferson lops,0,389,2011-04-03,False,11,0,55,1,31,0
thelittleidiot,bald alien. adopted son of john waters. lover of alf & the a.l.f.  #animalrights #littlepine #thesesystemsarefailing #impeachtrump . vegan since 1987,https://t.co/FGCfQnsXQs,3,3,3,3,1,3,0,0,0,moby Xäñ†X,0,1643,2008-04-21,False,12,0,55,147,7,1
NaiveQuestions,,,2,3,2,0,0,3,1,0,0,Naí¿ve Bot Questions,1,665,2014-07-08,False,12,0,54,1,33,0
PepeAguilar,Hago mí_sica y shows. (lo í_ltimo...dentro y fuera del escenario),https://t.co/57sx6wYX1h,3,3,3,2,1,3,0,0,0,Pepe Aguilar,0,1764,2009-03-19,False,9,0,53,63,46,1
AvnishS00673526,Private job,,0,2,0,0,0,0,1,0,1,Avnish Sharma,0,136,2017-03-13,True,13,8,6,9,41,0
cgagraphics,8086 in Turbo Mode äó¢ by @derekarnold,http://t.co/HGEP3DYuKt,2,1,2,1,0,3,0,0,0,cga.graphics,1,1383,2014-05-28,False,9,0,54,36,27,1
HanuAcademy,"The Place To Learn Anything, Anywhere For All",,2,3,1,2,0,0,0,0,1,Hanu Academy,1,236,2016-12-02,False,9,0,60,43,46,0
gridgenerator,Simple generated grids three times a day. bot by @fitnr,,0,0,1,0,0,1,1,0,0,grids grids grids,1,1127,2016-06-21,False,11,0,53,53,23,0
PFK_Shurlok,"PFK Shurlok, a division of @PFK_Electronics, is a leader in the design and manufacture of OEM products and services on a global scale.",,2,3,1,2,0,0,0,0,0,PFK Shurlok,0,409,2015-11-11,False,9,0,46,132,51,0
benjamin_ha2005,,None,0,1,0,1,0,0,1,0,0,Benjamin Ha,1,145,2016-12-17,True,13,4,5,1,34,0
menubot,A random historical restaurant menu from NYPL's collection. Average three per day. Also https://t.co/OLgPaEtsK1 https://t.co/6nF9g7R4Mg by @hugovk,https://t.co/mAixJrdlV1,1,1,2,1,0,2,0,0,0,Menu Bot,1,1006,2015-11-01,False,5,0,55,144,51,1
ceback84,"Cat lady, singer, actor, love improv & living in Tokyo",,0,2,0,2,0,0,1,0,0,Trenton Johnson,1,30,2016-02-03,True,6,2,4,52,42,0
nikilanik,Professional GT Race Driver promoting the message of Human Rights to kids.,http://t.co/OI7SVxfaYr,1,1,2,0,1,1,0,0,0,nikilanik,0,1104,2008-06-02,False,7,0,46,72,12,1
lianghai,A deep conjunct of a multilingual font technician and a phonology enthusiast. ä_æ¥Ÿè NOT A NICE PERSON.,https://t.co/m9kuBSJtZB,2,2,2,3,0,3,0,0,1,_¢Å_µ‡ Liang Hai,0,1165,2008-07-14,False,6,0,44,101,29,1
neuralgae,Flotsam and jetsam from the neural driftnets. A bot by @bombinans,https://t.co/DdAGV5rRP8,0,0,1,0,0,2,0,0,0,neuralgae,1,1055,2015-11-27,False,7,0,40,63,32,1
larsrosenquist,"Father of two, husband of one, software geek, tech nut, gadget freak, video games, techno/minimal.",https://t.co/LMGGzYzUKV,1,3,2,2,0,2,0,0,0,Lars Rosenquist,0,510,2010-05-03,False,12,0,55,96,33,1
"""SendNudes1099""","""""",null,0,1,0,0,0,0,1,1,0,"""Send Nudes""",1,161,2017-03-12,False,13,4,26,0,28,0
ColorADayBot,What will today's color be?,http://t.co/VgsrRpy9yI,2,0,2,0,0,1,1,0,0,Color-A-Day,1,1681,2013-09-28,False,10,0,55,25,38,1
RudyGay8,Baltimore Native UCONN,,3,2,3,1,1,2,0,0,0,Rudy Gay,0,1759,2009-05-03,True,6,1,8,20,42,0
"""ERIKSGT""","""We design, manufacture and supply a wide range of #gaskets and #sealing and #insulation components to many industries where equipment failure is not an option.""","""http://t.co/yXjmEQ6mPY""",2,3,2,2,0,1,0,0,0,"""ERIKS Gasket Tech""",1,685,2013-09-10,False,7,0,26,159,44,1
s_vakarchuk,Personal Twitter Account,https://t.co/cMiT9ZBHV9,3,0,3,1,1,2,0,0,0,Svyatoslav Vakarchuk,0,1992,2009-10-12,False,9,0,46,22,36,1
jonathanporte19,"""I am one with the force,the force is with me"" - dead blind guy",,1,1,0,2,0,1,1,0,1,jonathan porter,0,798,2012-10-29,True,13,2,9,61,28,0
liketocontinue,"A story in 36 tweets, told in your notifications panel. Tweet '@liketocontinue hi' to start and wait for the reply. By Matt Webb @genmon",https://t.co/3OqwIuCf5n,1,2,1,0,0,2,0,0,0,Like to Continue,1,530,2015-11-18,False,12,0,40,134,20,1
crazyl1f,,,0,0,0,0,0,0,1,1,0,Songgaoyun Deng,0,547,2015-09-29,False,6,1,41,1,51,0
likeuberbut,"''The 'Hello World' of jokey, generative Twitter bots.'' - @joshmillard Creates bad ideas for startups. Made by @NoraReed with help from just_post.",http://t.co/gvvOA90STT,2,0,2,1,0,2,0,0,0,your new startup,1,1695,2015-02-07,False,9,0,55,145,27,1
lesliehandsome,Honey! Let's have some fun? I'm here (my login same in tw) -  https://t.co/rYVNhsOY80,,1,3,0,1,0,0,1,0,0,Felisiti Uebb,1,126,2011-04-27,False,12,0,40,83,26,0
sextmanteau_bot,@portmanteau_bot + @wikisext // by @thricedotted,https://t.co/qGCGttmwIw,1,0,1,0,0,1,0,0,0,sext words,1,1369,2014-08-22,False,13,0,55,46,28,1
sherwood,We added you on Myspace. Our new album SOME THINGS NEVER LEAVE YOU available now. @natehenrysays @dankoch,https://t.co/7FkundthYn,3,3,3,3,1,2,0,0,0,Sherwood,0,791,2009-04-01,False,6,0,39,103,42,1
biorxiv_pubd,The non-profit preprint server for the life sciences,https://t.co/gpznMFRLrO,2,0,1,0,0,1,1,0,0,bioRxiv Published,1,1583,2016-07-25,False,10,0,39,50,38,1
TonyBesson,insert witty bio ____________,https://t.co/j0l0PRz5yd,3,1,3,3,1,3,0,0,0,Tony Besson,0,1760,2009-06-05,False,8,0,49,27,24,1
guillermomayuri,DirComConnected /AlwaysOn/,,1,2,0,2,0,0,1,0,0,Guillermo Mayuri,0,387,2009-05-24,False,13,0,44,24,21,0
bcsing29,"Mother to Ashton | Lyme Disease Warrior _™ê_ | Child of God | Myrtle Beach, SC Native _™‘__™‘‚_™‘_ | One Love _™ê__™ê__ù_´Ùè",,1,3,0,3,0,1,1,0,1,Brandy Singleton,0,231,2011-12-19,True,6,2,9,122,51,0
bubbawatson,Christian. Husband. Daddy. Pro Golfer. #urwelcome,https://t.co/LsGtqaom2V,3,2,3,2,1,3,0,0,0,bubba watson,0,1789,2009-09-16,False,9,0,49,47,27,1
duynguyenuw,"Statistics PhD Student at University of Wisconsin--Madison; interested in genomics, machine learning, and computing; pianist",https://t.co/hPZnjh5uH7,1,2,1,2,0,0,0,0,0,Duy Nguyen,0,301,2014-02-15,False,9,0,58,122,19,1
Slam140,"bot that congratulates you for making a 140 character tweet, aka the slam dunk of tweeting - by @logoninternet",,2,3,2,3,0,3,0,0,0,140 Slam Dunk,1,705,2015-06-07,True,5,3,0,108,51,0
Ferguson2426,"gamer, love diffn styels of music and films. lways follow back",,0,1,0,2,0,0,1,0,0,Theda Ferguson,1,145,2016-10-02,True,10,4,6,60,47,0
IAmAnushka,"Musician, actor, lover. Instagram : @anushkadisco #AngryIndianGoddesses For show enquiries: +91-7738-886145 (Swetha @ Toast Events)",https://t.co/LvmSQnoNV0,3,2,0,3,1,3,0,0,0,Anushka Manchanda,0,1540,2009-05-22,False,8,0,36,129,45,1
"""jk_rowling""","""Author""","""https://t.co/7iaKMs3iC6""",3,2,3,3,1,2,0,0,0,"""J.K. Rowling""",0,1925,2009-08-03,False,10,0,26,6,47,1
not_a_cop_bot,Looking to stick it to the man yeah I hate the man,,1,2,2,0,0,2,0,0,0,Not A Cop,1,735,2015-05-27,False,11,0,55,48,17,0
G33k3rGeek,I am G33kerGeek! I think of Random Domains for you!,,2,3,1,3,0,3,1,0,0,G33k3r,1,656,2013-11-13,False,8,3,46,49,7,0
mahflaibam,,,1,2,0,0,0,0,0,0,0,manoela flaibam,0,427,2010-12-02,False,8,0,48,1,24,0
emily_testbot,Daily links showing an unusual slice of IFDB content,,1,0,1,0,0,1,0,0,0,IFDB Sommelier,1,1162,2015-02-26,False,11,0,55,50,31,0
chrturner22,Take it sleazy.,,0,2,0,2,0,0,1,0,0,chrturner22,1,99,2016-10-14,True,9,2,2,13,27,0
iamsana_afreen,Determined dreamer . Achiever .Civil Engineer !Artistically Conscious!,,1,1,0,2,0,0,1,0,1,Sana,0,735,2016-03-31,False,12,0,49,70,20,0
tiny_astro_naut,tiny adventures of tiny astronauts injected into @tiny_star_field's tiny star fields. by @elibrody,http://t.co/p2MpascZzX,2,0,2,3,0,2,0,0,0,tiny astronaut,1,1801,2014-08-23,False,13,0,55,96,21,1
BrunoTSaraiva,Technology and culture Humor Music Entertainment,,0,1,0,1,0,0,1,0,1,Bruno Saraiva,1,312,2016-10-18,False,11,0,36,46,31,0
NYULMC_IIME,The @NYULMC Institute for Innovations in Medical Education,http://t.co/NO65awFfmo,1,1,1,2,0,0,0,0,0,Innovations in MedEd,0,903,2013-11-13,False,9,0,14,56,36,1
keaneofficial,Keane's official Twitter page. Get The Best of Keane from Amazon at http://t.co/XazVxu8pnj or iTunes at http://t.co/7cz7MmRI6H,http://t.co/darKGn9LZn,3,2,3,2,1,2,0,0,0,Keane,0,1691,2009-11-01,False,11,0,47,124,23,1
sparker,"Napster, Plaxo, Facebook, Causes, Spotify & Airtime = https://t.co/pEfbUoDYae",https://t.co/OChMaSsvLB,3,2,3,2,1,1,0,0,0,Sean Parker,0,1650,2011-09-22,False,5,0,53,75,40,1
zacf_129979472,Sup,http://t.co/RlzL3HOOOJ,3,1,0,0,0,1,0,1,0,Zac Farro,0,1612,2009-04-15,True,12,9,2,1,26,1
muejiiz1991,"UITS Provides Kennesaw State with the technology necessary for faculty, staff, and students to carry out academic collaboration, research and innovation.",,0,2,0,1,0,0,1,0,0,Philip Bailey,1,123,2017-12-07,True,9,4,1,151,27,0
likesfrombutera,free follow _ôÖ_,,1,2,0,2,0,0,1,0,0,free follow,1,354,2016-05-28,False,13,0,36,14,41,0
hoIIybassett,"A loser, wannabe everything who loves defining things on Google and is obsessed with Captain America.",https://t.co/LPhS8QPEd6,2,2,2,3,0,3,0,0,0,Holly Bassett,0,896,2010-11-10,False,10,0,55,99,29,1
franklin_pmiami,Computing is not about computers any more. It is about living.,,0,2,0,1,0,0,1,0,0,Franklin Patterson,1,51,2017-12-06,False,13,0,44,60,21,0
only_a_comment,"Internet commenting, without any context. A @muffinista bot. #botALLY",http://t.co/m09HcF6NnR,1,0,2,0,0,3,0,0,0,Just the Comments,1,1355,2013-09-15,False,12,0,55,67,26,1
Tink0074,,,0,1,0,0,0,0,1,1,0,Tracy Austin,1,303,2009-09-01,True,6,4,4,1,42,0
ScottStapp,Proud father & husband Voice of #Creed #ScottStapp #ArtOfAnarchyBand Booking inquiries: justin.hirschman@Artistgrp.com Management: scottstappmgmt@gmail.com,https://t.co/FsioHke9RI,3,1,3,3,1,2,0,0,0,Scott Stapp,0,1705,2009-02-22,False,8,0,51,153,16,1
MythologyBot,a #bot by @BooDooPerson,http://t.co/layLVuoxSP,2,0,2,2,0,2,0,0,0,Mythology Bot,1,1660,2014-11-09,False,10,0,55,21,21,1
_mayf,"just do it cause you want it, just do it cause you like it, do it cause you feel.",http://t.co/CNsUPoWPeN,1,1,0,1,0,1,0,0,0,Mayara Fernandes,0,553,2010-10-10,False,3,0,41,79,51,1
PawanKalyan,Jai Hind !!,,3,0,3,0,1,1,1,0,0,Pawan Kalyan,0,2015,2014-08-09,False,9,0,49,9,19,0
"""ShropshirePulse""","""Follow Us for all the latest News from around Shropshire U.K. Guaranteed Follow Back!""","""https://t.co/fVkgYzdKWC""",2,3,2,2,0,3,0,0,0,"""Shropshire Pulse""",1,721,2015-02-25,False,15,0,26,85,25,1
dronesweetie,"Itäó»s a bird, itäó»s a plane...it's images of drones, as described by a computer. Powered by http://t.co/BYXD0BoDU6 & Rebecca Lieberman aka @the_log_lady",http://t.co/eKEVEqhsmx,2,1,2,1,0,2,1,0,0,dronesweetie,1,1125,2015-05-01,False,10,0,40,152,29,1
TravisCrandell,,None,0,1,0,1,0,0,1,1,0,Travis Crandell,0,443,2012-10-04,False,12,0,47,1,33,0
Nathan60899955,,None,0,1,0,0,0,0,1,1,0,Nathan,1,223,2017-10-02,True,12,8,5,1,26,0
harshimau,"Dancer_ôÍ€, dreamer_ô_†, happy_ô»€",,0,2,1,3,0,0,0,0,1,Harshima,0,262,2013-03-14,False,7,0,56,32,32,0
GenerateAFace,I'm just your average procedural avatar generating twitter bot. @bzgeb is my creator,,1,0,2,0,0,2,1,0,0,Procedural AvatarBot,1,1154,2014-05-13,False,11,0,40,82,23,0
edgetics_papers,"New papers using the Vidal lab's interactome 'edgetics' approach (Zhong 2009), made by @biochemistries",https://t.co/fBUw60QBOL,0,0,1,0,0,0,1,0,0,Edgetics papers,1,1076,2015-02-22,False,13,0,54,100,28,1
infinitedeserts,"an infinity of deserts, each more infinite than the last. bot mapped by @getdizzzy",http://t.co/XcmwxgYpSu,2,1,2,2,0,2,0,0,0,infinite deserts_“___,1,1253,2015-05-25,False,13,0,54,80,9,1
zoegoko25,"Founder/CEO Of Diamond Cutters International, Author,Inventor,Executive Coach, Motivational Speaker, Grateful",,0,2,0,2,0,0,1,0,0,zoegoko25,1,37,2016-11-30,True,7,2,5,107,32,0
MacyJordan4,,None,0,1,0,0,0,0,1,1,0,Macy Jordan,1,151,2017-03-12,True,9,1,4,1,46,0
michaelcrowley,"Senior foreign affairs correspondent, Politico. Russia is fake news.",http://t.co/q95e9uzaUZ,3,3,3,3,1,3,0,0,0,Michael Crowley,0,1180,2009-11-02,False,12,0,60,66,33,1
GameCritBot,I have something to say about all the games.,,1,1,1,0,0,0,1,0,0,Video Game Critic,1,993,2013-08-07,False,9,0,55,42,46,0
anagaal,The beast howls in my veins,,1,2,1,3,0,3,0,0,0,Ana Gaal,0,722,2010-05-27,False,5,0,47,25,13,0
larryellison,,http://t.co/j6iuRaAIX0,3,1,3,0,1,0,1,0,0,Larry Ellison,0,1757,2012-05-31,False,10,0,49,1,29,1
dumpmon,Hi there! I'm a bot which monitors multiple paste sites for password dumps and other sensitive information.,http://t.co/mnSZ42RMkz,2,0,2,1,0,3,1,0,0,Dump Monitor,1,1776,2013-03-01,False,5,0,49,105,40,1
Gahlaut_Rajput,,,0,1,0,0,0,0,0,0,0,Manoj Gahlaut,0,298,2014-08-27,False,12,0,55,1,26,0
BioCodePapers,"Twitterbot of #bioinformatics papers in #PubMed reporting code in @github, @sourceforge, @bitbucket or @google code. Curated by @caseybergman.",,1,0,2,0,0,1,1,0,0,BioCodePapers,1,1424,2015-02-06,False,11,0,54,140,39,0
makerbot,"MakerBot's connected 3D printing solutions address the wider needs of professionals and educators, evolving their ideas from inspiration to innovation.",http://t.co/Mc0YQhDo6f,3,2,3,3,0,3,0,0,0,MakerBot,0,1509,2009-02-26,False,6,0,55,149,51,1
moltar_ebooks,,,1,1,1,1,0,2,1,0,0,MOLTAR EBOOKS,1,868,2014-07-02,False,11,0,54,1,39,0
maxkeiser,"Hosts @KeiserReport on @RT_com, recommended bitcoin at $3",https://t.co/kGREMvKVBg,3,2,3,1,0,3,0,0,0,Max Keiser,0,1525,2009-02-08,False,7,0,53,55,44,1
"""PoGoSanteeCA""","""Providing Tweets of the rarest and rare battle of the best Pokemon around Santee & Lakeside. All Times Til Hidden (TTH) are approximate. Donations welcome.""","""https://t.co/ZxOnj75YEd""",2,1,1,1,0,3,1,0,0,"""PoGo Santee""",1,1182,2017-02-09,False,12,0,26,155,33,1
StobbeKindra,prabida,,0,1,0,2,0,0,1,0,0,Kindra Stobbe,1,189,2017-02-01,False,10,0,36,5,47,0
ceubehen,"With roots from beautiful Sicily, the Tantillo family brings you old world favorites. Shop online with a trusted and respected name in fine food products.",,0,2,0,1,0,0,1,0,0,ceubehen,1,28,2017-12-07,False,6,0,49,152,29,0
YO_RANDYJACKSON,"American bassist, singer, record producer, music manager, and former A&R executive. He is best known as a judge on American Idol and Executive Producer.",https://t.co/N9LcEjY8EB,3,2,3,2,1,2,0,0,0,Randy Jackson,0,1715,2009-06-30,False,13,0,23,150,28,1
thematchbot,Get the latest fabricated scores! TaskŒæwill complete inŒæ90Œæmins. //ŒæaŒæbotŒæbyŒæ@inky,http://t.co/PdagJGqVMR,1,0,1,0,0,3,0,0,0,The Match,1,1243,2014-06-13,False,9,0,55,87,27,1
BioinformaticsP,"New papers from: Oxford Bioinformatics, Briefings in Bioinformatics, BMC Bioinformatics, SCFBM, PLOS CB, ACM/IEEE. Generated with twitterfeed",,1,1,2,0,0,2,1,0,0,Bioinformatics Feeds,1,1055,2014-03-04,False,13,0,25,139,34,0
coldplay,"New album, A Head Full Of Dreams, out now worldwide. #AHFODtour runs through 2017. Spanish language account: @coldplay_es",https://t.co/i83B1uzFqO,3,3,3,3,1,2,0,0,0,Coldplay,0,1897,2009-11-01,False,6,0,60,119,42,1
"""RunnersKaskus""","""SBS Running Man Fans From Kaskus. 6 admin kece. Admin Absurd, Bijak, Aneh, M, Hanna, Timo. Jangan Jalan, Ngacir Gan! |ps : twit kami jgn terlalu diseriusin ya""","""http://t.co/9mQy3NmQKW""",3,1,2,3,0,3,0,0,0,"""Running Man Kaskus""",1,1507,2012-09-08,False,13,0,26,158,21,1
DJDRAMA,I FEED THESE STREETS. snapchat: dramalikethedj ig: djdrama (bookings@dramalikethedj.com),https://t.co/g9IfPEU7tZ,3,3,3,2,1,3,0,0,0,DJ DRAMA,0,1690,2009-12-07,False,5,0,10,86,26,1
